AIRPORT,Year,Month,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Date
ADELAIDE,1999,11,11373,9303,20676,1999-11-01T00:00:00
ADELAIDE,1999,12,10623,11285,21908,1999-12-01T00:00:00
ADELAIDE,2000,1,12600,10158,22758,2000-01-01T00:00:00
ADELAIDE,2000,2,12498,8095,20593,2000-02-01T00:00:00
ADELAIDE,2000,3,10494,10812,21306,2000-03-01T00:00:00
ADELAIDE,2000,4,11000,12737,23737,2000-04-01T00:00:00
ADELAIDE,2000,5,7765,10890,18655,2000-05-01T00:00:00
ADELAIDE,2000,6,9452,9579,19031,2000-06-01T00:00:00
ADELAIDE,2000,7,13181,12116,25297,2000-07-01T00:00:00
ADELAIDE,2000,8,11577,11424,23001,2000-08-01T00:00:00
ADELAIDE,2000,9,12581,11343,23924,2000-09-01T00:00:00
ADELAIDE,2000,10,13840,9895,23735,2000-10-01T00:00:00
ADELAIDE,2000,11,12124,10650,22774,2000-11-01T00:00:00
ADELAIDE,2000,12,12423,12865,25288,2000-12-01T00:00:00
ADELAIDE,2001,1,12908,11239,24147,2001-01-01T00:00:00
ADELAIDE,2001,2,10674,8310,18984,2001-02-01T00:00:00
ADELAIDE,2001,3,9991,10080,20071,2001-03-01T00:00:00
ADELAIDE,2001,4,9402,10934,20336,2001-04-01T00:00:00
ADELAIDE,2001,5,7358,10058,17416,2001-05-01T00:00:00
ADELAIDE,2001,6,9350,9540,18890,2001-06-01T00:00:00
ADELAIDE,2001,7,11404,10468,21872,2001-07-01T00:00:00
ADELAIDE,2001,8,9823,9193,19016,2001-08-01T00:00:00
ADELAIDE,2001,9,10938,9440,20378,2001-09-01T00:00:00
ADELAIDE,2001,10,12933,9145,22078,2001-10-01T00:00:00
ADELAIDE,2001,11,9686,8967,18653,2001-11-01T00:00:00
ADELAIDE,2001,12,9894,10109,20003,2001-12-01T00:00:00
ADELAIDE,2002,1,10638,9181,19819,2002-01-01T00:00:00
ADELAIDE,2002,2,9245,7261,16506,2002-02-01T00:00:00
ADELAIDE,2002,3,9520,9248,18768,2002-03-01T00:00:00
ADELAIDE,2002,4,8064,9920,17984,2002-04-01T00:00:00
ADELAIDE,2002,5,7399,9532,16931,2002-05-01T00:00:00
ADELAIDE,2002,6,8463,9154,17617,2002-06-01T00:00:00
ADELAIDE,2002,7,11119,9866,20985,2002-07-01T00:00:00
ADELAIDE,2002,8,10171,9170,19341,2002-08-01T00:00:00
ADELAIDE,2002,9,10182,9382,19564,2002-09-01T00:00:00
ADELAIDE,2002,10,11179,8100,19279,2002-10-01T00:00:00
ADELAIDE,2002,11,9875,7582,17457,2002-11-01T00:00:00
ADELAIDE,2002,12,9593,10507,20100,2002-12-01T00:00:00
ADELAIDE,2003,1,11042,9146,20188,2003-01-01T00:00:00
ADELAIDE,2003,2,9785,6665,16450,2003-02-01T00:00:00
ADELAIDE,2003,3,8401,8183,16584,2003-03-01T00:00:00
ADELAIDE,2003,4,6541,7098,13639,2003-04-01T00:00:00
ADELAIDE,2003,5,4880,6339,11219,2003-05-01T00:00:00
ADELAIDE,2003,6,5811,6511,12322,2003-06-01T00:00:00
ADELAIDE,2003,7,9592,8398,17990,2003-07-01T00:00:00
ADELAIDE,2003,8,9165,8981,18146,2003-08-01T00:00:00
ADELAIDE,2003,9,9426,8703,18129,2003-09-01T00:00:00
ADELAIDE,2003,10,11750,7694,19444,2003-10-01T00:00:00
ADELAIDE,2003,11,10046,9603,19649,2003-11-01T00:00:00
ADELAIDE,2003,12,11138,11951,23089,2003-12-01T00:00:00
ADELAIDE,2004,1,13508,11289,24797,2004-01-01T00:00:00
ADELAIDE,2004,2,12530,8745,21275,2004-02-01T00:00:00
ADELAIDE,2004,3,10960,11578,22538,2004-03-01T00:00:00
ADELAIDE,2004,4,11267,11970,23237,2004-04-01T00:00:00
ADELAIDE,2004,5,8731,11527,20258,2004-05-01T00:00:00
ADELAIDE,2004,6,10254,11207,21461,2004-06-01T00:00:00
ADELAIDE,2004,7,14312,11764,26076,2004-07-01T00:00:00
ADELAIDE,2004,8,11938,11625,23563,2004-08-01T00:00:00
ADELAIDE,2004,9,12404,12436,24840,2004-09-01T00:00:00
ADELAIDE,2004,10,14912,10464,25376,2004-10-01T00:00:00
ADELAIDE,2004,11,11890,11101,22991,2004-11-01T00:00:00
ADELAIDE,2004,12,14349,15322,29671,2004-12-01T00:00:00
ADELAIDE,2005,1,16357,14082,30439,2005-01-01T00:00:00
ADELAIDE,2005,2,14947,10875,25822,2005-02-01T00:00:00
ADELAIDE,2005,3,14716,13922,28638,2005-03-01T00:00:00
ADELAIDE,2005,4,13485,14559,28044,2005-04-01T00:00:00
ADELAIDE,2005,5,11771,14314,26085,2005-05-01T00:00:00
ADELAIDE,2005,6,12830,13596,26426,2005-06-01T00:00:00
ADELAIDE,2005,7,16226,13907,30133,2005-07-01T00:00:00
ADELAIDE,2005,8,14766,13102,27868,2005-08-01T00:00:00
ADELAIDE,2005,9,13429,11769,25198,2005-09-01T00:00:00
ADELAIDE,2005,10,15960,12620,28580,2005-10-01T00:00:00
ADELAIDE,2005,11,13653,12548,26201,2005-11-01T00:00:00
ADELAIDE,2005,12,14431,16433,30864,2005-12-01T00:00:00
ADELAIDE,2006,1,16837,14519,31356,2006-01-01T00:00:00
ADELAIDE,2006,2,15580,10304,25884,2006-02-01T00:00:00
ADELAIDE,2006,3,14838,13676,28514,2006-03-01T00:00:00
ADELAIDE,2006,4,15941,17566,33507,2006-04-01T00:00:00
ADELAIDE,2006,5,13450,15116,28566,2006-05-01T00:00:00
ADELAIDE,2006,6,14554,15839,30393,2006-06-01T00:00:00
ADELAIDE,2006,7,20973,17547,38520,2006-07-01T00:00:00
ADELAIDE,2006,8,18345,17044,35389,2006-08-01T00:00:00
ADELAIDE,2006,9,18215,16346,34561,2006-09-01T00:00:00
ADELAIDE,2006,10,21877,15822,37699,2006-10-01T00:00:00
ADELAIDE,2006,11,18211,15523,33734,2006-11-01T00:00:00
ADELAIDE,2006,12,20208,22158,42366,2006-12-01T00:00:00
ADELAIDE,2007,1,22042,17928,39970,2007-01-01T00:00:00
ADELAIDE,2007,2,19381,14132,33513,2007-02-01T00:00:00
ADELAIDE,2007,3,20874,18490,39364,2007-03-01T00:00:00
