Year,Country of Stay/Residence,Origin,OBS_VALUE
1985,Philippines,Australia,9300
1985,Poland,Australia,3020
1985,Saudi Arabia,Australia,1680
1985,Singapore,Australia,35340
1985,South Africa,Australia,10430
1985,South Korea,Australia,3710
1985,Spain,Australia,1780
1985,Sri Lanka,Australia,1790
1985,Sweden,Australia,9680
1985,Switzerland,Australia,14250
1985,Taiwan,Australia,8050
1985,Thailand,Australia,5860
1985,United Arab Emirates,Australia,720
1985,United States of America,Australia,197360
1985,Vanuatu,Australia,2350
1985,Vietnam,Australia,90
1986,Argentina,Australia,2140
1986,Austria,Australia,5100
1986,Bangladesh,Australia,360
1986,Belgium,Australia,2520
1986,Brazil,Australia,1470
1986,Cambodia,Australia,0
1986,Canada,Australia,46960
1986,Chile,Australia,830
1986,China,Australia,6210
1986,Colombia,Australia,230
1986,Denmark,Australia,6330
1986,Fiji,Australia,13300
1986,Finland,Australia,3070
1986,France,Australia,13860
1986,Germany,Australia,41850
1986,Hong Kong,Australia,33510
1986,India,Australia,6850
1986,Indonesia,Australia,17730
1986,Iran,Australia,600
1986,Ireland,Australia,7350
1986,Israel,Australia,3990
1986,Italy,Australia,17290
1986,Japan,Australia,145620
1986,Malaysia,Australia,38650
1986,Mexico,Australia,1150
1986,Nepal,Australia,230
1986,Netherlands,Australia,15900
1986,New Caledonia,Australia,11080
1986,New Zealand,Australia,336750
1986,Norway,Australia,3180
1986,Pakistan,Australia,1070
1986,Papua New Guinea,Australia,31950
1986,Philippines,Australia,11160
1986,Poland,Australia,3130
1986,Saudi Arabia,Australia,2120
1986,Singapore,Australia,44990
1986,South Africa,Australia,12500
1986,South Korea,Australia,4810
1986,Spain,Australia,2170
1986,Sri Lanka,Australia,2160
1986,Sweden,Australia,14160
1986,Switzerland,Australia,16850
1986,Taiwan,Australia,11960
1986,Thailand,Australia,8050
1986,United Arab Emirates,Australia,900
1986,United States of America,Australia,247000
1986,Vanuatu,Australia,2220
1986,Vietnam,Australia,170
1987,Argentina,Australia,2390
1987,Austria,Australia,6390
1987,Bangladesh,Australia,430
1987,Belgium,Australia,2960
1987,Brazil,Australia,2070
1987,Cambodia,Australia,10
1987,Canada,Australia,52720
1987,Chile,Australia,1010
1987,China,Australia,10860
1987,Colombia,Australia,340
1987,Denmark,Australia,8730
1987,Fiji,Australia,16520
1987,Finland,Australia,4200
1987,France,Australia,17080
1987,Germany,Australia,53230
1987,Hong Kong,Australia,42690
1987,India,Australia,7400
1987,Indonesia,Australia,21450
1987,Iran,Australia,530
1987,Ireland,Australia,9800
1987,Israel,Australia,4410
1987,Italy,Australia,19300
1987,Japan,Australia,215550
1987,Malaysia,Australia,47100
1987,Mexico,Australia,1280
1987,Nepal,Australia,230
1987,Netherlands,Australia,17280
1987,New Caledonia,Australia,14380
1987,New Zealand,Australia,427290
1987,Norway,Australia,4300
1987,Pakistan,Australia,1460
1987,Papua New Guinea,Australia,32830
1987,Philippines,Australia,12180
1987,Poland,Australia,3390
1987,Saudi Arabia,Australia,2230
1987,Singapore,Australia,56960
1987,South Africa,Australia,9650
1987,South Korea,Australia,6880
1987,Spain,Australia,2730
1987,Sri Lanka,Australia,2260
1987,Sweden,Australia,21920
1987,Switzerland,Australia,21330
1987,Taiwan,Australia,16050
1987,Thailand,Australia,11150
1987,United Arab Emirates,Australia,1310
1987,United States of America,Australia,310610
1987,Vanuatu,Australia,2490
1987,Vietnam,Australia,250
1988,Argentina,Australia,2030
1988,Austria,Australia,9120
1988,Bangladesh,Australia,680
1988,Belgium,Australia,4300
1988,Brazil,Australia,2600
1988,Cambodia,Australia,20
1988,Canada,Australia,66670
1988,Chile,Australia,1360
1988,China,Australia,17980
1988,Colombia,Australia,450
1988,Denmark,Australia,11390
1988,Fiji,Australia,19270
1988,Finland,Australia,5700
1988,France,Australia,20970
1988,Germany,Australia,65910
1988,Hong Kong,Australia,49430
1988,India,Australia,10660
1988,Indonesia,Australia,29580
1988,Iran,Australia,730
1988,Ireland,Australia,13090
1988,Israel,Australia,5200
1988,Italy,Australia,25240
1988,Japan,Australia,352300
1988,Malaysia,Australia,52110
1988,Mexico,Australia,1160
1988,Nepal,Australia,380
1988,Netherlands,Australia,22390
1988,New Caledonia,Australia,17150
1988,New Zealand,Australia,534300
1988,Norway,Australia,5200
1988,Pakistan,Australia,2290
1988,Papua New Guinea,Australia,37770
1988,Philippines,Australia,13430
1988,Poland,Australia,4130
1988,Saudi Arabia,Australia,1860
1988,Singapore,Australia,63480
1988,South Africa,Australia,9360
1988,South Korea,Australia,9200
1988,Spain,Australia,3850
1988,Sri Lanka,Australia,3250
1988,Sweden,Australia,26930
1988,Switzerland,Australia,25960
1988,Taiwan,Australia,19200
1988,Thailand,Australia,15850
1988,United Arab Emirates,Australia,1500
1988,United States of America,Australia,326890
1988,Vanuatu,Australia,3170
1988,Vietnam,Australia,260
