CAT_TRAVELLER,Category of traveller,Duration of stay,Reason for journey,TIME_PERIOD,OBS_VALUE
6,Short-term (less than one year) Visitors arriving,Total,Employment,1986-12,1170
6,Short-term (less than one year) Visitors arriving,Total,Employment,1987-01,2450
6,Short-term (less than one year) Visitors arriving,Total,Employment,1987-02,1680
6,Short-term (less than one year) Visitors arriving,Total,Employment,1987-03,1710
6,Short-term (less than one year) Visitors arriving,Total,Employment,1987-04,1510
6,Short-term (less than one year) Visitors arriving,Total,Employment,1987-05,1390
6,Short-term (less than one year) Visitors arriving,Total,Employment,1987-06,1780
6,Short-term (less than one year) Visitors arriving,Total,Employment,1987-07,1850
6,Short-term (less than one year) Visitors arriving,Total,Employment,1987-08,1980
6,Short-term (less than one year) Visitors arriving,Total,Employment,1987-09,1630
6,Short-term (less than one year) Visitors arriving,Total,Employment,1987-10,2240
6,Short-term (less than one year) Visitors arriving,Total,Employment,1987-11,1690
6,Short-term (less than one year) Visitors arriving,Total,Employment,1987-12,1370
6,Short-term (less than one year) Visitors arriving,Total,Employment,1988-01,2910
6,Short-term (less than one year) Visitors arriving,Total,Employment,1988-02,1930
6,Short-term (less than one year) Visitors arriving,Total,Employment,1988-03,2060
6,Short-term (less than one year) Visitors arriving,Total,Employment,1988-04,2370
6,Short-term (less than one year) Visitors arriving,Total,Employment,1988-05,1610
6,Short-term (less than one year) Visitors arriving,Total,Employment,1988-06,2170
6,Short-term (less than one year) Visitors arriving,Total,Employment,1988-07,2200
6,Short-term (less than one year) Visitors arriving,Total,Employment,1988-08,2220
6,Short-term (less than one year) Visitors arriving,Total,Employment,1988-09,2490
6,Short-term (less than one year) Visitors arriving,Total,Employment,1988-10,2500
6,Short-term (less than one year) Visitors arriving,Total,Employment,1988-11,2620
6,Short-term (less than one year) Visitors arriving,Total,Employment,1988-12,1550
6,Short-term (less than one year) Visitors arriving,Total,Employment,1989-01,3800
6,Short-term (less than one year) Visitors arriving,Total,Employment,1989-02,1920
6,Short-term (less than one year) Visitors arriving,Total,Employment,1989-03,2360
6,Short-term (less than one year) Visitors arriving,Total,Employment,1989-04,2920
6,Short-term (less than one year) Visitors arriving,Total,Employment,1989-05,2280
6,Short-term (less than one year) Visitors arriving,Total,Employment,1989-06,2570
6,Short-term (less than one year) Visitors arriving,Total,Employment,1989-07,2530
6,Short-term (less than one year) Visitors arriving,Total,Employment,1989-08,2160
6,Short-term (less than one year) Visitors arriving,Total,Employment,1989-09,2730
6,Short-term (less than one year) Visitors arriving,Total,Employment,1989-10,2240
6,Short-term (less than one year) Visitors arriving,Total,Employment,1989-11,2360
6,Short-term (less than one year) Visitors arriving,Total,Employment,1989-12,2090
6,Short-term (less than one year) Visitors arriving,Total,Employment,1990-01,3390
6,Short-term (less than one year) Visitors arriving,Total,Employment,1990-02,2520
6,Short-term (less than one year) Visitors arriving,Total,Employment,1990-03,2720
6,Short-term (less than one year) Visitors arriving,Total,Employment,1990-04,2160
6,Short-term (less than one year) Visitors arriving,Total,Employment,1990-05,2570
6,Short-term (less than one year) Visitors arriving,Total,Employment,1990-06,2720
6,Short-term (less than one year) Visitors arriving,Total,Employment,1990-07,2840
6,Short-term (less than one year) Visitors arriving,Total,Employment,1990-08,2330
6,Short-term (less than one year) Visitors arriving,Total,Employment,1990-09,2160
6,Short-term (less than one year) Visitors arriving,Total,Employment,1990-10,2060
6,Short-term (less than one year) Visitors arriving,Total,Employment,1990-11,2020
6,Short-term (less than one year) Visitors arriving,Total,Employment,1990-12,2110
6,Short-term (less than one year) Visitors arriving,Total,Employment,1991-01,2610
6,Short-term (less than one year) Visitors arriving,Total,Employment,1991-02,1670
6,Short-term (less than one year) Visitors arriving,Total,Employment,1991-03,1650
6,Short-term (less than one year) Visitors arriving,Total,Employment,1991-04,2650
6,Short-term (less than one year) Visitors arriving,Total,Employment,1991-05,2550
6,Short-term (less than one year) Visitors arriving,Total,Employment,1991-06,2080
6,Short-term (less than one year) Visitors arriving,Total,Employment,1991-07,2170
6,Short-term (less than one year) Visitors arriving,Total,Employment,1991-08,2240
6,Short-term (less than one year) Visitors arriving,Total,Employment,1991-09,2570
6,Short-term (less than one year) Visitors arriving,Total,Employment,1991-10,2590
6,Short-term (less than one year) Visitors arriving,Total,Employment,1991-11,2310
6,Short-term (less than one year) Visitors arriving,Total,Employment,1991-12,1860
6,Short-term (less than one year) Visitors arriving,Total,Employment,1992-01,2980
6,Short-term (less than one year) Visitors arriving,Total,Employment,1992-02,1900
6,Short-term (less than one year) Visitors arriving,Total,Employment,1992-03,2300
6,Short-term (less than one year) Visitors arriving,Total,Employment,1992-04,2090
6,Short-term (less than one year) Visitors arriving,Total,Employment,1992-05,1860
6,Short-term (less than one year) Visitors arriving,Total,Employment,1992-06,1900
6,Short-term (less than one year) Visitors arriving,Total,Employment,1992-07,1900
6,Short-term (less than one year) Visitors arriving,Total,Employment,1992-08,1760
6,Short-term (less than one year) Visitors arriving,Total,Employment,1992-09,1410
6,Short-term (less than one year) Visitors arriving,Total,Employment,1992-10,1680
6,Short-term (less than one year) Visitors arriving,Total,Employment,1992-11,2150
6,Short-term (less than one year) Visitors arriving,Total,Employment,1992-12,1750
6,Short-term (less than one year) Visitors arriving,Total,Employment,1993-01,2460
6,Short-term (less than one year) Visitors arriving,Total,Employment,1993-02,2010
