CAT_TRAVELLER,Category of traveller,Duration of stay,Reason for journey,TIME_PERIOD,OBS_VALUE
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1979-12,890
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1980-01,500
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1980-02,3130
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1980-03,1260
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1980-04,1520
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1980-05,1930
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1980-06,640
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1980-07,1550
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1980-08,2330
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1980-09,1120
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1980-10,1990
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1980-11,1230
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1980-12,360
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1981-01,530
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1981-02,1190
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1981-03,1390
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1981-04,1200
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1981-05,1000
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1981-06,450
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1981-07,970
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1981-08,2600
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1981-09,1570
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1981-10,2530
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1981-11,1200
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1981-12,470
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1982-01,590
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1982-02,800
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1982-03,1210
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1982-04,680
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1982-05,1100
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1982-06,690
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1982-07,2030
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1982-08,2300
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1982-09,1390
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1982-10,1330
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1982-11,800
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1982-12,440
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1983-01,620
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1983-02,1060
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1983-03,820
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1983-04,830
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1983-05,1150
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1983-06,450
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1983-07,1550
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1983-08,4940
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1983-09,1840
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1983-10,2150
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1983-11,920
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1983-12,330
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1984-01,730
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1984-02,1700
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1984-03,1760
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1984-04,1110
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1984-05,1820
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1984-06,2030
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1984-07,930
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1984-08,2670
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1984-09,1930
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1984-10,2840
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1984-11,1170
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1984-12,730
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1985-01,520
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1985-02,770
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1985-03,1580
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1985-04,1420
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1985-05,3240
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1985-06,1060
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1985-07,1300
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1985-08,2850
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1985-09,1920
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1985-10,2750
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1985-11,2060
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1985-12,660
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1986-01,690
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1986-02,1870
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1986-03,2160
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1986-04,3280
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1986-05,2600
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1986-06,1400
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1986-07,1210
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1986-08,3380
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1986-09,1910
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1986-10,2610
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1986-11,4610
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1986-12,770
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1987-01,1660
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1987-02,1800
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1987-03,1540
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1987-04,1980
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1987-05,2820
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1987-06,1550
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1987-07,2190
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1987-08,4990
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1987-09,4070
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1987-10,4170
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1987-11,2240
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1987-12,2130
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1988-01,2320
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1988-02,2330
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1988-03,2830
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1988-04,4800
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1988-05,5530
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1988-06,2390
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1988-07,4670
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1988-08,9250
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1988-09,6470
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1988-10,6030
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1988-11,7950
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1988-12,2160
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1989-01,1830
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1989-02,2360
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1989-03,2490
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1989-04,1960
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1989-05,2390
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1989-06,1790
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1989-07,1250
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1989-08,1790
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1989-09,3350
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1989-10,2780
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1989-11,2630
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1989-12,780
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1990-01,1340
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1990-02,1090
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1990-03,4120
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1990-04,2200
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1990-05,1900
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1990-06,1970
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1990-07,2460
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1990-08,6170
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1990-09,3450
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1990-10,3610
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1990-11,3110
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1990-12,1130
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1991-01,1730
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1991-02,3670
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1991-03,1990
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1991-04,2140
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1991-05,2870
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1991-06,10450
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1991-07,3620
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1991-08,2460
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1991-09,3640
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1991-10,3290
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1991-11,4620
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1991-12,2290
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1992-01,1410
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1992-02,2360
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1992-03,3360
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1992-04,2520
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1992-05,2900
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1992-06,1530
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1992-07,3300
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1992-08,2810
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1992-09,3840
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1992-10,3250
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1992-11,3380
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1992-12,1670
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1993-01,1640
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1993-02,3480
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1993-03,3160
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1993-04,4360
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1993-05,11050
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1993-06,2450
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1993-07,4330
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1993-08,2040
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1993-09,7000
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1993-10,4030
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1993-11,4420
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1993-12,2240
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1994-01,1620
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1994-02,3950
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1994-03,5890
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1994-04,5230
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1994-05,2860
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1994-06,3070
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1994-07,5000
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1994-08,3360
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1994-09,10960
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1994-10,10820
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1994-11,8750
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1994-12,3420
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1995-01,3070
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1995-02,8600
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1995-03,7560
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1995-04,5580
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1995-05,6780
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1995-06,6590
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1995-07,9530
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1995-08,7870
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1995-09,9450
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1995-10,12150
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1995-11,9460
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1995-12,3070
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1996-01,4290
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1996-02,8080
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1996-03,9210
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1996-04,13040
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1996-05,7800
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1996-06,9250
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1996-07,10340
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1996-08,9130
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1996-09,12330
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1996-10,12480
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1996-11,12830
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1996-12,4110
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1997-01,5450
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1997-02,6290
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1997-03,10300
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1997-04,8720
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1997-05,9580
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1997-06,13790
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1997-07,11590
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1997-08,7950
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1997-09,11220
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1997-10,11720
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1997-11,12530
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1997-12,3500
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1998-01,4450
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1998-02,6690
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1998-03,8760
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1998-04,7560
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1998-05,8710
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1998-06,5200
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1998-07,10530
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1998-08,7450
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1998-09,11080
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1998-10,15770
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1998-11,11480
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1998-12,3960
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1999-01,4650
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1999-02,6720
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1999-03,9150
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1999-04,13610
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1999-05,9500
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1999-06,4960
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1999-07,10620
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1999-08,9260
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1999-09,11470
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1999-10,12150
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1999-11,11380
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,1999-12,3600
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2000-01,6500
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2000-02,8430
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2000-03,10390
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2000-04,11100
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2000-05,11590
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2000-06,9760
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2000-07,12930
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2000-08,8750
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2000-09,12810
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2000-10,17380
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2000-11,17460
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2000-12,8950
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2001-01,6090
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2001-02,9060
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2001-03,13460
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2001-04,12230
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2001-05,13110
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2001-06,8800
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2001-07,14740
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2001-08,8300
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2001-09,16840
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2001-10,14070
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2001-11,11020
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2001-12,7910
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2002-01,4910
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2002-02,8640
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2002-03,10010
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2002-04,15730
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2002-05,15250
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2002-06,7270
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2002-07,13950
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2002-08,9160
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2002-09,13850
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2002-10,14190
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2002-11,11970
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2002-12,5000
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2003-01,5540
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2003-02,9450
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2003-03,11070
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2003-04,8280
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2003-05,14800
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2003-06,8750
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2003-07,17280
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2003-08,14470
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2003-09,18260
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2003-10,12380
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2003-11,13670
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2003-12,8580
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2004-01,4720
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2004-02,12110
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2004-03,13140
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2004-04,10720
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2004-05,12620
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2004-06,10340
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2004-07,15770
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2004-08,17020
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2004-09,18140
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2004-10,16920
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2004-11,17700
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2004-12,7760
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2005-01,14080
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2005-02,11360
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2005-03,15520
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2005-04,13440
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2005-05,14550
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2005-06,10250
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2005-07,16150
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2005-08,22740
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2005-09,18690
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2005-10,16290
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2005-11,22860
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2005-12,6770
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2006-01,6980
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2006-02,14020
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2006-03,13730
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2006-04,12580
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2006-05,14090
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2006-06,16590
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2006-07,19660
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2006-08,19900
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2006-09,20070
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2006-10,20790
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2006-11,15660
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2006-12,8920
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2007-01,10210
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2007-02,11870
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2007-03,24300
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2007-04,15130
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2007-05,14930
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2007-06,15800
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2007-07,21760
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2007-08,17830
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2007-09,21930
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2007-10,19930
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2007-11,21490
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2007-12,7940
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2008-01,9850
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2008-02,17140
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2008-03,16570
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2008-04,14690
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2008-05,16070
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2008-06,13890
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2008-07,39090
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2008-08,17790
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2008-09,17060
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2008-10,18090
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2008-11,15060
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2008-12,8970
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2009-01,7020
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2009-02,11960
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2009-03,12800
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2009-04,9700
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2009-05,12330
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2009-06,11190
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2009-07,15870
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2009-08,17350
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2009-09,15630
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2009-10,16820
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2009-11,16750
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2009-12,9660
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2010-01,7350
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2010-02,14010
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2010-03,14290
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2010-04,14650
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2010-05,14780
6,Short-term (less than one year) Visitors arriving,Total,Convention/conference,2010-06,18920
